round,cpu_usage,memory,time
0,0,0,17:20:57.601
1,100.0,67898368,17:20:57.603
2,100.0,68107408,17:20:57.604
3,87.5,68212728,17:20:57.606
4,100.0,68093296,17:20:57.607
5,100.0,68149632,17:20:57.609
6,100.0,68312632,17:20:57.610
7,93.75,68040952,17:20:57.611
8,100.0,68239976,17:20:57.612
9,100.0,68270968,17:20:57.613
10,100.0,68097816,17:20:57.614
11,93.75,68233200,17:20:57.615
12,100.0,68334848,17:20:57.616
13,100.0,68077792,17:20:57.616
14,100.0,68194216,17:20:57.617
15,100.0,68346760,17:20:57.618
16,93.75,68120392,17:20:57.619
17,100.0,68264424,17:20:57.620
18,93.75,68487512,17:20:57.621
19,93.75,68440032,17:20:57.622
20,87.5,68486040,17:20:57.623
21,93.75,68056480,17:20:57.623
22,100.0,68197272,17:20:57.624
23,100.0,68338696,17:20:57.625
24,93.75,68088088,17:20:57.627
25,93.75,68299368,17:20:57.628
26,100.0,68343328,17:20:57.628
27,100.0,68080728,17:20:57.629
28,100.0,68225800,17:20:57.630
29,100.0,68318912,17:20:57.631
30,100.0,68141184,17:20:57.632
31,100.0,68235408,17:20:57.633
32,100.0,68372680,17:20:57.634
33,100.0,68178632,17:20:57.635
34,100.0,68221496,17:20:57.635
35,100.0,68311192,17:20:57.636
36,100.0,68124312,17:20:57.637
37,100.0,68313624,17:20:57.638
38,94.11764705882352,68406616,17:20:57.639
39,100.0,68130936,17:20:57.640
40,100.0,68234368,17:20:57.641
41,100.0,68261504,17:20:57.642
42,93.75,68051848,17:20:57.643
43,100.0,68179680,17:20:57.644
44,100.0,68391864,17:20:57.645
45,100.0,68073160,17:20:57.646
46,100.0,68341816,17:20:57.647
47,100.0,68336960,17:20:57.648
48,93.75,68099440,17:20:57.649
49,100.0,68207184,17:20:57.649
50,100.0,68323352,17:20:57.650
51,100.0,68121136,17:20:57.651
52,100.0,68231648,17:20:57.652
53,93.75,68357656,17:20:57.653
54,100.0,68247864,17:20:57.654
55,100.0,68223192,17:20:57.655
56,100.0,68396496,17:20:57.656
57,100.0,68142208,17:20:57.657
58,75.0,68385736,17:20:57.659
59,100.0,68358184,17:20:57.660
60,100.0,68347168,17:20:57.661
61,93.75,68305624,17:20:57.662
62,93.75,68330192,17:20:57.663
63,93.75,68376640,17:20:57.664
64,100.0,68441472,17:20:57.665
65,100.0,68532144,17:20:57.666
66,100.0,68144336,17:20:57.667
67,100.0,68167664,17:20:57.668
68,100.0,68283808,17:20:57.669
69,100.0,68269776,17:20:57.670
70,100.0,68065808,17:20:57.671
71,100.0,68253624,17:20:57.672
72,93.75,68297032,17:20:57.673
73,100.0,68148080,17:20:57.674
74,93.75,68317456,17:20:57.675
75,100.0,68336488,17:20:57.676
76,100.0,68370952,17:20:57.677
77,87.5,68434368,17:20:57.679
78,100.0,68544424,17:20:57.680
79,93.75,68100312,17:20:57.681
80,100.0,68199632,17:20:57.682
81,87.5,68336456,17:20:57.683
82,100.0,68427200,17:20:57.684
83,100.0,68263616,17:20:57.686
84,93.75,68322152,17:20:57.687
85,100.0,68451920,17:20:57.688
86,100.0,68456696,17:20:57.688
87,100.0,68545184,17:20:57.689
88,100.0,68165120,17:20:57.690
89,100.0,68265392,17:20:57.691
90,100.0,68435136,17:20:57.692
91,100.0,68121416,17:20:57.693
92,100.0,68306144,17:20:57.694
93,100.0,68366472,17:20:57.695
94,93.75,68158176,17:20:57.696
95,100.0,68443800,17:20:57.697
96,93.75,68547032,17:20:57.698
97,100.0,68312120,17:20:57.698
98,100.0,68481128,17:20:57.699
99,100.0,68530384,17:20:57.700
100,100.0,68322960,17:20:57.701
101,100.0,68451216,17:20:57.703
102,87.5,68585440,17:20:57.704
103,93.75,68416744,17:20:57.705
104,100.0,68561072,17:20:57.706
105,100.0,68510192,17:20:57.707
106,87.5,68626280,17:20:57.708
107,100.0,68743320,17:20:57.709
108,100.0,68741384,17:20:57.710
109,87.5,68412304,17:20:57.711
110,93.75,68469264,17:20:57.712
111,100.0,68502808,17:20:57.713
112,100.0,68318288,17:20:57.714
113,93.75,68441256,17:20:57.715
114,100.0,68537016,17:20:57.716
115,100.0,68349184,17:20:57.717
116,100.0,68486144,17:20:57.718
117,100.0,68577680,17:20:57.720
118,100.0,68346224,17:20:57.721
119,100.0,68436328,17:20:57.722
120,100.0,68547160,17:20:57.723
121,100.0,68360488,17:20:57.724
122,100.0,68458056,17:20:57.725
123,81.25,68571096,17:20:57.727
124,100.0,68427024,17:20:57.727
125,100.0,68436504,17:20:57.729
126,100.0,68510240,17:20:57.730
127,100.0,68620928,17:20:57.731
128,100.0,68672216,17:20:57.732
129,100.0,68765936,17:20:57.733
