round,cpu_usage,memory,time
0,0,0,17:22:04.030
1,93.75,66421336,17:22:04.032
2,81.25,66554800,17:22:04.034
3,93.75,66670152,17:22:04.035
4,87.5,67203616,17:22:04.037
5,100.0,67177072,17:22:04.038
6,93.75,67162200,17:22:04.039
7,100.0,67249072,17:22:04.040
8,100.0,67443264,17:22:04.041
9,100.0,67423760,17:22:04.043
10,100.0,67505680,17:22:04.043
11,100.0,67210728,17:22:04.044
12,100.0,67251656,17:22:04.045
13,100.0,67218728,17:22:04.046
14,100.0,67214040,17:22:04.047
15,100.0,67244448,17:22:04.047
16,100.0,67242448,17:22:04.049
17,100.0,67248272,17:22:04.049
18,100.0,67250056,17:22:04.051
19,93.75,67393184,17:22:04.052
20,100.0,67194400,17:22:04.053
21,100.0,67211592,17:22:04.054
22,93.75,67239568,17:22:04.055
23,100.0,67241216,17:22:04.055
24,100.0,67252784,17:22:04.056
25,100.0,67280672,17:22:04.057
26,100.0,67276392,17:22:04.058
27,100.0,67233568,17:22:04.059
28,100.0,67235440,17:22:04.060
29,100.0,67181928,17:22:04.061
30,100.0,67336952,17:22:04.062
31,100.0,67193744,17:22:04.063
32,100.0,67295584,17:22:04.064
33,100.0,67286984,17:22:04.065
34,100.0,67234920,17:22:04.066
35,100.0,67227488,17:22:04.067
36,93.75,67251848,17:22:04.068
37,100.0,67261808,17:22:04.068
38,94.11764705882352,67245792,17:22:04.069
39,93.75,67286112,17:22:04.071
40,100.0,67280000,17:22:04.071
41,100.0,67188456,17:22:04.072
42,100.0,67328696,17:22:04.072
43,100.0,67297752,17:22:04.073
44,100.0,67273920,17:22:04.074
45,100.0,67277448,17:22:04.075
46,100.0,67269248,17:22:04.076
47,100.0,67272792,17:22:04.076
48,100.0,67218136,17:22:04.077
49,93.75,67221688,17:22:04.078
50,100.0,67245560,17:22:04.079
51,94.11764705882352,67249296,17:22:04.080
52,100.0,67246792,17:22:04.081
53,93.75,67283744,17:22:04.081
54,100.0,67294304,17:22:04.082
55,100.0,67242688,17:22:04.083
56,100.0,67192992,17:22:04.084
57,87.5,67277312,17:22:04.085
58,93.75,67338008,17:22:04.086
59,100.0,67191152,17:22:04.086
60,100.0,67285016,17:22:04.087
61,100.0,67290304,17:22:04.088
62,94.11764705882352,67232120,17:22:04.089
63,100.0,67236048,17:22:04.091
64,87.5,67249632,17:22:04.092
65,100.0,67251488,17:22:04.093
66,100.0,67253168,17:22:04.093
67,93.75,67298192,17:22:04.094
68,100.0,67207520,17:22:04.095
69,100.0,67291240,17:22:04.096
70,93.75,67143408,17:22:04.096
71,93.75,67229968,17:22:04.098
72,100.0,67231192,17:22:04.098
73,100.0,67229392,17:22:04.099
74,100.0,67266872,17:22:04.100
75,100.0,67274736,17:22:04.101
76,100.0,67216392,17:22:04.102
77,100.0,67220208,17:22:04.103
78,87.5,67244496,17:22:04.105
79,100.0,67255920,17:22:04.106
80,100.0,67248600,17:22:04.106
81,100.0,67276856,17:22:04.107
82,100.0,67272848,17:22:04.108
83,93.75,67215248,17:22:04.109
84,100.0,67233032,17:22:04.110
85,100.0,67251832,17:22:04.111
86,100.0,67260160,17:22:04.112
87,93.75,67256296,17:22:04.113
88,100.0,67293160,17:22:04.114
89,100.0,67296960,17:22:04.115
90,100.0,67246216,17:22:04.115
91,100.0,67208920,17:22:04.116
92,100.0,67238840,17:22:04.117
93,100.0,67242576,17:22:04.118
94,100.0,67241616,17:22:04.119
95,100.0,67278992,17:22:04.120
96,100.0,67281872,17:22:04.121
97,100.0,67231512,17:22:04.122
98,100.0,67213648,17:22:04.122
99,100.0,67191344,17:22:04.123
100,100.0,67344200,17:22:04.124
101,100.0,67205920,17:22:04.125
102,100.0,67297176,17:22:04.126
103,93.75,67300400,17:22:04.127
104,100.0,67183552,17:22:04.127
105,100.0,67323536,17:22:04.128
106,100.0,67201976,17:22:04.128
107,88.88888888888889,67267592,17:22:04.130
108,100.0,67276128,17:22:04.131
109,100.0,67315080,17:22:04.132
110,100.0,67318376,17:22:04.133
111,100.0,67267928,17:22:04.133
112,100.0,67274216,17:22:04.134
113,93.75,67298696,17:22:04.136
114,100.0,67254456,17:22:04.137
115,87.5,67249224,17:22:04.138
116,81.25,67243952,17:22:04.138
117,100.0,67371432,17:22:04.139
118,93.75,67173888,17:22:04.141
119,100.0,67231520,17:22:04.142
120,93.75,67260872,17:22:04.143
121,100.0,67252608,17:22:04.144
122,100.0,67248816,17:22:04.145
123,93.75,67293424,17:22:04.146
124,100.0,67303824,17:22:04.146
125,100.0,67253432,17:22:04.147
126,100.0,67256952,17:22:04.148
127,100.0,67263408,17:22:04.149
128,100.0,67273808,17:22:04.150
129,100.0,67276120,17:22:04.151
130,100.0,67306248,17:22:04.151
131,100.0,67315720,17:22:04.152
132,100.0,67266872,17:22:04.153
133,100.0,67270632,17:22:04.154
134,100.0,67295072,17:22:04.155
135,100.0,67297392,17:22:04.156
136,100.0,67292464,17:22:04.157
137,100.0,67338072,17:22:04.158
138,100.0,67283768,17:22:04.159
139,100.0,67230304,17:22:04.160
140,93.75,67231704,17:22:04.161
141,100.0,67259544,17:22:04.161
142,100.0,67206400,17:22:04.162
143,100.0,67348728,17:22:04.162
144,100.0,67245752,17:22:04.163
145,93.75,67297248,17:22:04.164
146,93.75,67252008,17:22:04.165
147,100.0,67325912,17:22:04.166
148,100.0,67436672,17:22:04.167
149,100.0,67501536,17:22:04.168
150,100.0,67591472,17:22:04.168
151,100.0,67254496,17:22:04.169
152,100.0,67299784,17:22:04.170
153,100.0,67245824,17:22:04.171
154,100.0,67252496,17:22:04.172
155,87.5,67278792,17:22:04.173
156,100.0,67226792,17:22:04.174
157,100.0,67372208,17:22:04.175
158,100.0,67493360,17:22:04.176
159,100.0,67561632,17:22:04.177
160,93.75,67592680,17:22:04.178
161,93.75,67234176,17:22:04.179
162,100.0,67265096,17:22:04.180
163,100.0,67260488,17:22:04.181
164,100.0,67253328,17:22:04.182
165,100.0,67307392,17:22:04.182
166,100.0,67307528,17:22:04.183
167,100.0,67263688,17:22:04.184
168,100.0,67265880,17:22:04.185
169,100.0,67290824,17:22:04.186
170,93.75,67288264,17:22:04.187
171,93.75,67291784,17:22:04.188
172,100.0,67311408,17:22:04.189
173,100.0,67315152,17:22:04.190
174,100.0,67264424,17:22:04.191
175,87.5,67251936,17:22:04.192
176,100.0,67268424,17:22:04.193
177,100.0,67273808,17:22:04.194
178,100.0,67283032,17:22:04.195
179,100.0,67321728,17:22:04.196
180,100.0,67331024,17:22:04.197
181,100.0,67274240,17:22:04.198
182,100.0,67276680,17:22:04.199
183,100.0,67299704,17:22:04.200
184,100.0,67303952,17:22:04.201
185,100.0,67307688,17:22:04.202
186,93.75,67302176,17:22:04.203
187,93.75,67304080,17:22:04.204
188,93.75,67260224,17:22:04.206
189,100.0,67259944,17:22:04.207
190,100.0,67284424,17:22:04.208
191,100.0,67288152,17:22:04.209
192,100.0,67291624,17:22:04.210
193,100.0,67328264,17:22:04.211
194,100.0,67326296,17:22:04.212
195,100.0,67275112,17:22:04.213
196,93.75,67278880,17:22:04.214
197,100.0,67302152,17:22:04.214
198,100.0,67309984,17:22:04.215
199,93.75,67290368,17:22:04.216
200,100.0,67290960,17:22:04.217
201,100.0,67431720,17:22:04.219
202,100.0,67213560,17:22:04.220
203,100.0,67274072,17:22:04.221
204,100.0,67378256,17:22:04.222
205,100.0,67472792,17:22:04.223
206,87.5,67528432,17:22:04.224
207,93.75,67632584,17:22:04.226
208,93.75,67290600,17:22:04.227
209,100.0,67297808,17:22:04.229
210,94.11764705882352,67260496,17:22:04.230
211,93.75,67411504,17:22:04.231
212,100.0,67296000,17:22:04.232
213,100.0,67357872,17:22:04.233
214,100.0,67152904,17:22:04.234
215,87.5,67294040,17:22:04.236
216,100.0,67379432,17:22:04.236
217,100.0,67235832,17:22:04.238
218,87.5,67366600,17:22:04.239
219,100.0,67360960,17:22:04.240
220,100.0,67313240,17:22:04.241
