round,cpu_usage,memory,time
0,0,0,17:21:07.138
1,100.0,67304088,17:21:07.140
2,81.25,67594696,17:21:07.141
3,93.75,67586136,17:21:07.142
4,100.0,67445328,17:21:07.143
5,100.0,67449184,17:21:07.144
6,93.75,67488200,17:21:07.145
7,93.75,67579120,17:21:07.146
8,100.0,68061880,17:21:07.147
9,87.5,68128344,17:21:07.149
10,93.75,68213624,17:21:07.150
11,87.5,68358448,17:21:07.151
12,100.0,68416688,17:21:07.153
13,100.0,68465824,17:21:07.154
14,100.0,68099208,17:21:07.155
15,100.0,68177976,17:21:07.156
16,100.0,68221888,17:21:07.157
17,100.0,68310448,17:21:07.158
18,100.0,68408392,17:21:07.159
19,100.0,68487144,17:21:07.160
20,93.75,68062360,17:21:07.161
21,100.0,68091448,17:21:07.162
22,100.0,68251976,17:21:07.163
23,100.0,68101632,17:21:07.164
24,100.0,68158936,17:21:07.165
25,100.0,68282488,17:21:07.166
26,100.0,68376480,17:21:07.167
27,100.0,68387288,17:21:07.167
28,93.75,68477480,17:21:07.168
29,100.0,68119504,17:21:07.169
30,100.0,68177528,17:21:07.170
31,100.0,68181056,17:21:07.171
32,93.75,68218416,17:21:07.171
33,100.0,68204608,17:21:07.172
34,100.0,68159616,17:21:07.173
35,100.0,68165616,17:21:07.174
36,100.0,68192672,17:21:07.175
37,100.0,68195752,17:21:07.175
38,100.0,68199552,17:21:07.176
39,100.0,68189176,17:21:07.177
40,100.0,68196912,17:21:07.178
41,94.11764705882352,68144808,17:21:07.179
42,93.75,68148624,17:21:07.180
43,93.75,68161560,17:21:07.181
44,93.75,68154184,17:21:07.182
45,100.0,68246216,17:21:07.182
46,100.0,68371760,17:21:07.183
47,100.0,68420768,17:21:07.184
48,93.75,68459624,17:21:07.185
49,100.0,68098592,17:21:07.187
50,100.0,68177896,17:21:07.188
51,94.11764705882352,68181680,17:21:07.189
52,93.75,68185280,17:21:07.190
53,100.0,68203760,17:21:07.191
54,93.75,68215168,17:21:07.192
55,100.0,68172128,17:21:07.193
56,87.5,68169944,17:21:07.194
57,100.0,68200304,17:21:07.195
58,87.5,68189936,17:21:07.196
59,100.0,68186240,17:21:07.198
60,100.0,68231104,17:21:07.199
61,100.0,68218784,17:21:07.200
62,100.0,68176368,17:21:07.201
63,100.0,68220328,17:21:07.202
64,93.75,68331576,17:21:07.203
65,100.0,68377120,17:21:07.203
66,100.0,68475240,17:21:07.205
67,100.0,68144432,17:21:07.206
68,100.0,68206712,17:21:07.207
69,100.0,68155768,17:21:07.208
70,100.0,68159208,17:21:07.209
71,100.0,68181112,17:21:07.211
72,93.75,68184952,17:21:07.212
73,93.75,68180688,17:21:07.213
74,100.0,68225648,17:21:07.214
75,93.75,68221360,17:21:07.215
76,100.0,68159968,17:21:07.216
77,100.0,68170952,17:21:07.216
78,100.0,68164512,17:21:07.217
79,93.75,68292824,17:21:07.218
80,94.11764705882352,68156496,17:21:07.219
81,100.0,68240280,17:21:07.220
82,100.0,68252048,17:21:07.221
83,100.0,68201472,17:21:07.221
84,93.75,68205288,17:21:07.222
85,100.0,68229344,17:21:07.223
86,100.0,68197240,17:21:07.223
87,100.0,68201568,17:21:07.224
88,100.0,68213624,17:21:07.225
89,93.75,68217288,17:21:07.226
90,100.0,68163320,17:21:07.227
91,100.0,68127120,17:21:07.227
92,100.0,68217400,17:21:07.228
93,100.0,68291056,17:21:07.229
94,93.75,68140968,17:21:07.230
95,100.0,68236712,17:21:07.231
96,100.0,68327664,17:21:07.231
97,100.0,68364136,17:21:07.232
98,100.0,68415592,17:21:07.232
99,100.0,68528344,17:21:07.233
100,87.5,68156760,17:21:07.234
101,93.75,68214312,17:21:07.235
102,100.0,68257568,17:21:07.235
103,100.0,68213920,17:21:07.236
104,100.0,68305224,17:21:07.237
105,100.0,68158984,17:21:07.237
106,100.0,68189264,17:21:07.238
107,94.11764705882352,68335912,17:21:07.239
108,100.0,68192112,17:21:07.240
109,100.0,68283072,17:21:07.241
110,100.0,68241256,17:21:07.242
111,100.0,68190744,17:21:07.243
112,100.0,68183448,17:21:07.243
113,100.0,68187688,17:21:07.244
114,100.0,68191552,17:21:07.245
115,100.0,68205992,17:21:07.246
116,100.0,68218952,17:21:07.248
117,100.0,68222264,17:21:07.248
118,100.0,68171832,17:21:07.249
119,100.0,68174208,17:21:07.250
120,93.75,68196272,17:21:07.251
121,100.0,68202384,17:21:07.252
122,93.75,68211664,17:21:07.253
123,100.0,68238480,17:21:07.254
124,100.0,68241824,17:21:07.255
125,100.0,68194872,17:21:07.256
126,100.0,68198768,17:21:07.256
127,100.0,68223264,17:21:07.257
128,93.75,68226760,17:21:07.258
129,100.0,68230656,17:21:07.259
130,93.75,68268032,17:21:07.260
131,100.0,68271544,17:21:07.260
132,100.0,68224864,17:21:07.261
133,100.0,68175848,17:21:07.262
134,93.75,68198216,17:21:07.263
135,100.0,68209760,17:21:07.264
136,100.0,68209840,17:21:07.265
137,100.0,68246840,17:21:07.266
138,100.0,68250696,17:21:07.267
139,100.0,68200648,17:21:07.268
140,100.0,68205456,17:21:07.269
141,100.0,68229600,17:21:07.269
142,100.0,68239320,17:21:07.270
143,100.0,68235256,17:21:07.271
144,100.0,68266576,17:21:07.271
145,93.75,68204368,17:21:07.272
146,93.75,68285584,17:21:07.274
147,100.0,68134096,17:21:07.274
148,100.0,68155624,17:21:07.275
149,93.75,68309440,17:21:07.276
150,100.0,68167408,17:21:07.277
151,100.0,68251216,17:21:07.278
152,100.0,68266168,17:21:07.279
153,68.75,68215776,17:21:07.281
154,100.0,68212000,17:21:07.282
155,100.0,68243136,17:21:07.283
156,100.0,68200232,17:21:07.284
157,100.0,68194592,17:21:07.284
158,100.0,68197616,17:21:07.285
159,100.0,68334144,17:21:07.286
160,100.0,68135968,17:21:07.287
161,100.0,68192848,17:21:07.288
162,100.0,68298640,17:21:07.293
163,56.25,68390456,17:21:07.295
164,100.0,68454864,17:21:07.295
165,87.5,68578616,17:21:07.296
166,100.0,68211696,17:21:07.297
167,93.75,68215272,17:21:07.298
168,100.0,68286696,17:21:07.298
169,100.0,68394240,17:21:07.300
170,100.0,68471760,17:21:07.301
171,100.0,68564232,17:21:07.302
172,100.0,68217728,17:21:07.303
