round,cpu_usage,memory,time
0,0,0,17:21:16.209
1,93.75,66298992,17:21:16.211
2,93.75,66517368,17:21:16.212
3,100.0,66584528,17:21:16.213
4,93.75,66493120,17:21:16.214
5,93.75,66753712,17:21:16.217
6,100.0,66905728,17:21:16.218
7,100.0,66646968,17:21:16.219
8,100.0,66781168,17:21:16.220
9,100.0,66820688,17:21:16.222
10,81.25,66659072,17:21:16.223
11,93.75,66796728,17:21:16.225
12,100.0,66898528,17:21:16.226
13,100.0,66660616,17:21:16.228
14,88.88888888888889,66767544,17:21:16.229
15,93.75,66894408,17:21:16.230
16,100.0,66657744,17:21:16.231
17,100.0,66759096,17:21:16.232
18,87.5,66896856,17:21:16.235
19,100.0,66676640,17:21:16.238
20,88.23529411764706,66767408,17:21:16.239
21,93.75,66858824,17:21:16.240
22,100.0,66739256,17:21:16.242
23,100.0,66796800,17:21:16.243
24,93.75,66889952,17:21:16.244
25,100.0,67013400,17:21:16.245
26,93.75,67078576,17:21:16.246
27,93.75,67114248,17:21:16.247
28,93.75,66695080,17:21:16.248
29,100.0,66808432,17:21:16.249
30,100.0,66907296,17:21:16.250
31,93.75,66724024,17:21:16.252
32,100.0,66853024,17:21:16.253
33,100.0,66952208,17:21:16.254
34,87.5,66693952,17:21:16.255
35,100.0,66797272,17:21:16.257
36,100.0,66889664,17:21:16.257
37,100.0,66712040,17:21:16.259
38,93.75,66807536,17:21:16.260
39,100.0,66891496,17:21:16.261
40,100.0,66713736,17:21:16.262
41,87.5,66760872,17:21:16.263
42,93.75,66852136,17:21:16.264
43,100.0,66695152,17:21:16.265
44,100.0,66805624,17:21:16.266
45,100.0,66885168,17:21:16.267
46,100.0,66748632,17:21:16.268
47,100.0,66851840,17:21:16.269
48,93.75,66888312,17:21:16.271
49,93.75,66704928,17:21:16.272
50,93.75,66828712,17:21:16.273
51,100.0,66910152,17:21:16.274
52,100.0,66717504,17:21:16.275
53,100.0,66854680,17:21:16.276
54,100.0,66947136,17:21:16.277
55,87.5,66693000,17:21:16.278
56,100.0,66793384,17:21:16.279
57,100.0,66887184,17:21:16.280
58,100.0,66720448,17:21:16.281
59,100.0,66836312,17:21:16.282
60,100.0,66945984,17:21:16.283
61,100.0,66747992,17:21:16.284
62,100.0,66765976,17:21:16.285
63,100.0,66861848,17:21:16.286
64,100.0,66700064,17:21:16.287
65,93.75,66782880,17:21:16.288
66,94.11764705882352,66868752,17:21:16.290
67,81.25,66716096,17:21:16.290
68,100.0,66824176,17:21:16.291
69,100.0,66866776,17:21:16.292
70,100.0,66683512,17:21:16.293
71,100.0,66887656,17:21:16.294
72,100.0,66893016,17:21:16.294
73,100.0,66707528,17:21:16.296
74,93.75,66831072,17:21:16.296
75,100.0,66930176,17:21:16.297
76,93.75,66697800,17:21:16.298
77,100.0,66802664,17:21:16.299
78,93.75,66907136,17:21:16.300
79,100.0,66729208,17:21:16.301
80,100.0,66838552,17:21:16.302
81,100.0,66951744,17:21:16.303
82,100.0,66773992,17:21:16.303
83,100.0,66817208,17:21:16.304
84,100.0,66857624,17:21:16.305
85,93.75,66685224,17:21:16.307
86,81.25,66797704,17:21:16.308
87,88.88888888888889,66895384,17:21:16.309
88,100.0,66745624,17:21:16.310
89,100.0,66842904,17:21:16.311
90,93.75,66872640,17:21:16.312
91,100.0,66695208,17:21:16.313
92,100.0,66819504,17:21:16.314
93,100.0,66917520,17:21:16.315
94,100.0,66703664,17:21:16.316
95,100.0,66854984,17:21:16.317
96,100.0,66943016,17:21:16.318
97,100.0,66701120,17:21:16.319
98,100.0,66798384,17:21:16.320
99,100.0,66908512,17:21:16.321
100,100.0,66730888,17:21:16.322
101,93.75,66841760,17:21:16.323
102,100.0,66957040,17:21:16.324
103,100.0,66783144,17:21:16.325
104,93.75,66817728,17:21:16.326
105,100.0,66914920,17:21:16.327
106,87.5,66752672,17:21:16.329
107,93.75,66864880,17:21:16.330
108,100.0,66893936,17:21:16.330
109,100.0,66751880,17:21:16.331
110,100.0,66853864,17:21:16.332
111,100.0,66877648,17:21:16.333
112,100.0,66701000,17:21:16.334
113,100.0,66819264,17:21:16.335
114,93.75,66922440,17:21:16.336
115,100.0,66738440,17:21:16.337
116,100.0,66882952,17:21:16.339
117,100.0,66966728,17:21:16.340
118,100.0,66729048,17:21:16.342
119,87.5,66840192,17:21:16.343
120,100.0,66961088,17:21:16.344
121,100.0,66767288,17:21:16.344
122,100.0,66871496,17:21:16.345
123,100.0,66996520,17:21:16.347
124,100.0,66823296,17:21:16.348
125,88.88888888888889,66864952,17:21:16.349
126,93.75,66955488,17:21:16.350
127,100.0,66774776,17:21:16.351
128,100.0,66869424,17:21:16.351
129,100.0,66961464,17:21:16.352
130,100.0,66796424,17:21:16.353
131,100.0,66852400,17:21:16.354
132,100.0,66886736,17:21:16.354
133,100.0,66701776,17:21:16.355
134,93.75,66825416,17:21:16.356
135,100.0,66917816,17:21:16.357
136,100.0,66719272,17:21:16.359
137,100.0,66849728,17:21:16.359
138,100.0,66940048,17:21:16.360
139,93.75,66700584,17:21:16.361
140,100.0,66805592,17:21:16.361
141,93.75,66911520,17:21:16.362
142,100.0,66724000,17:21:16.363
143,100.0,66846392,17:21:16.364
144,87.5,66974120,17:21:16.364
145,100.0,66830432,17:21:16.365
146,100.0,66919448,17:21:16.366
147,93.75,67009488,17:21:16.367
148,87.5,67101960,17:21:16.368
149,100.0,67192000,17:21:16.369
150,100.0,66758672,17:21:16.370
151,100.0,66919144,17:21:16.371
152,100.0,67009104,17:21:16.372
153,93.75,66774128,17:21:16.373
154,100.0,66859464,17:21:16.374
155,93.75,66979328,17:21:16.375
156,100.0,66726184,17:21:16.375
157,100.0,66842144,17:21:16.376
158,100.0,66958792,17:21:16.378
159,100.0,66769832,17:21:16.378
160,100.0,66714616,17:21:16.379
161,100.0,66708552,17:21:16.380
162,100.0,66844744,17:21:16.380
163,100.0,66938040,17:21:16.381
164,100.0,66753776,17:21:16.382
165,100.0,66897840,17:21:16.383
166,100.0,66996912,17:21:16.384
167,93.75,66726928,17:21:16.385
168,100.0,66844288,17:21:16.386
169,100.0,66952120,17:21:16.387
170,100.0,66777520,17:21:16.387
171,100.0,66873088,17:21:16.388
172,100.0,66985856,17:21:16.389
173,100.0,66787880,17:21:16.390
174,100.0,66856704,17:21:16.391
175,93.75,66954152,17:21:16.392
176,100.0,66780488,17:21:16.393
177,100.0,66900392,17:21:16.393
178,100.0,66976448,17:21:16.394
179,93.75,66817720,17:21:16.395
180,100.0,66879608,17:21:16.396
181,100.0,66911104,17:21:16.397
182,93.75,66749904,17:21:16.398
183,100.0,66872088,17:21:16.400
184,100.0,66959312,17:21:16.400
185,100.0,66815656,17:21:16.401
186,93.75,66912776,17:21:16.403
187,100.0,67004256,17:21:16.404
188,100.0,67041512,17:21:16.405
189,93.75,67080752,17:21:16.406
190,93.75,67234960,17:21:16.408
191,94.11764705882352,66889216,17:21:16.410
192,87.5,66879984,17:21:16.411
193,87.5,67081880,17:21:16.412
194,100.0,66806248,17:21:16.413
195,93.75,66983440,17:21:16.414
196,100.0,66940048,17:21:16.415
197,93.75,66861192,17:21:16.416
198,100.0,66891960,17:21:16.417
199,93.75,66977712,17:21:16.418
200,100.0,66898168,17:21:16.419
201,100.0,67000808,17:21:16.420
202,100.0,66972344,17:21:16.421
203,93.75,66877856,17:21:16.422
204,100.0,66856208,17:21:16.424
205,100.0,66937904,17:21:16.425
206,93.75,66774176,17:21:16.426
207,100.0,66898448,17:21:16.427
208,100.0,66990272,17:21:16.428
209,100.0,66751480,17:21:16.429
210,100.0,66847792,17:21:16.430
211,93.75,66972960,17:21:16.431
212,100.0,66782288,17:21:16.432
213,93.75,66871856,17:21:16.433
214,100.0,67013664,17:21:16.434
215,93.75,66883552,17:21:16.435
