round,cpu_usage,memory,time
0,0,0,17:21:54.964
1,93.75,67190840,17:21:54.965
2,100.0,67384368,17:21:54.966
3,100.0,67480056,17:21:54.967
4,93.75,67976320,17:21:54.969
5,100.0,68115192,17:21:54.970
6,87.5,68155456,17:21:54.971
7,93.75,68228424,17:21:54.972
8,100.0,68344656,17:21:54.973
9,93.75,67965688,17:21:54.974
10,93.75,68031640,17:21:54.975
11,87.5,68180192,17:21:54.977
12,93.75,68267744,17:21:54.978
13,100.0,68273080,17:21:54.979
14,100.0,68369792,17:21:54.980
15,100.0,68480544,17:21:54.981
16,100.0,68309008,17:21:54.981
17,100.0,68407136,17:21:54.982
18,100.0,68074408,17:21:54.983
19,100.0,68132472,17:21:54.984
20,100.0,68070552,17:21:54.985
21,100.0,68074432,17:21:54.986
22,93.75,68048616,17:21:54.987
23,100.0,68047440,17:21:54.987
24,93.75,68048880,17:21:54.989
25,100.0,68089016,17:21:54.990
26,100.0,68097520,17:21:54.991
27,100.0,68035168,17:21:54.991
28,100.0,68046288,17:21:54.992
29,100.0,68071800,17:21:54.993
30,100.0,68075648,17:21:54.994
31,100.0,68073136,17:21:54.995
32,100.0,68110488,17:21:54.995
33,100.0,68114384,17:21:54.996
34,100.0,68056448,17:21:54.997
35,100.0,68067824,17:21:54.998
36,100.0,68091824,17:21:54.999
37,100.0,68085016,17:21:55.000
38,100.0,68088848,17:21:55.001
39,100.0,68124984,17:21:55.002
40,100.0,68109872,17:21:55.003
41,100.0,68069880,17:21:55.004
42,93.75,68025800,17:21:55.005
43,100.0,68193808,17:21:55.006
44,100.0,68049264,17:21:55.006
45,100.0,68113376,17:21:55.007
46,100.0,68083024,17:21:55.007
47,100.0,68153200,17:21:55.008
48,100.0,68151720,17:21:55.009
49,100.0,68217824,17:21:55.010
50,100.0,68173432,17:21:55.011
51,100.0,68031720,17:21:55.012
52,100.0,68071704,17:21:55.013
53,93.75,68197328,17:21:55.014
54,100.0,68279128,17:21:55.015
55,100.0,68281224,17:21:55.016
56,100.0,68380032,17:21:55.017
57,93.75,68040624,17:21:55.017
58,100.0,68101592,17:21:55.018
59,100.0,68113008,17:21:55.019
60,93.75,68144584,17:21:55.020
61,93.75,68145320,17:21:55.021
62,81.25,68094944,17:21:55.022
63,100.0,68106336,17:21:55.023
64,100.0,68135456,17:21:55.024
65,100.0,68136632,17:21:55.024
66,100.0,68130856,17:21:55.026
67,93.75,68268832,17:21:55.027
68,93.75,68127600,17:21:55.027
69,100.0,68077616,17:21:55.029
70,88.23529411764706,68116824,17:21:55.029
71,100.0,68189032,17:21:55.030
72,100.0,68238008,17:21:55.031
73,100.0,68299232,17:21:55.032
74,93.75,68417032,17:21:55.033
75,100.0,68133784,17:21:55.034
76,100.0,68057248,17:21:55.035
77,93.75,68060672,17:21:55.035
78,100.0,68087848,17:21:55.036
79,100.0,68085952,17:21:55.037
80,100.0,68092784,17:21:55.037
81,100.0,68119312,17:21:55.038
82,94.11764705882352,68126584,17:21:55.039
83,100.0,68022768,17:21:55.040
84,100.0,68076296,17:21:55.041
85,100.0,68291760,17:21:55.042
86,100.0,68116568,17:21:55.043
87,93.75,68071680,17:21:55.044
88,100.0,68151944,17:21:55.044
89,93.75,68248264,17:21:55.045
90,100.0,68105944,17:21:55.046
91,100.0,68029496,17:21:55.047
92,100.0,68195128,17:21:55.048
93,100.0,68060168,17:21:55.049
94,100.0,68072336,17:21:55.050
95,100.0,68111768,17:21:55.051
96,100.0,68115736,17:21:55.052
97,100.0,68065800,17:21:55.053
98,93.75,68108144,17:21:55.054
99,100.0,68075784,17:21:55.055
100,100.0,68185928,17:21:55.056
101,93.75,68041064,17:21:55.057
102,100.0,68143048,17:21:55.058
103,100.0,68289448,17:21:55.059
104,93.75,68266496,17:21:55.060
105,100.0,68359200,17:21:55.062
106,100.0,68471208,17:21:55.063
107,93.75,68217176,17:21:55.063
108,100.0,68218928,17:21:55.064
109,100.0,68173768,17:21:55.065
110,93.75,68152840,17:21:55.066
111,100.0,68251560,17:21:55.067
112,100.0,68151504,17:21:55.068
113,100.0,68173984,17:21:55.069
114,93.75,68130936,17:21:55.070
115,100.0,68187328,17:21:55.071
116,81.25,68166304,17:21:55.072
117,100.0,68196256,17:21:55.073
118,100.0,68095152,17:21:55.073
119,100.0,68095936,17:21:55.074
120,100.0,68127480,17:21:55.076
121,100.0,68130824,17:21:55.076
122,100.0,68136232,17:21:55.077
123,100.0,68165672,17:21:55.078
124,88.88888888888889,68169376,17:21:55.079
125,93.75,68122632,17:21:55.080
126,93.75,68126408,17:21:55.081
127,100.0,68114056,17:21:55.081
128,100.0,68196616,17:21:55.082
129,100.0,68287368,17:21:55.083
130,100.0,68384808,17:21:55.085
131,93.75,68478312,17:21:55.085
132,100.0,68054568,17:21:55.086
133,100.0,68105144,17:21:55.087
134,100.0,68134344,17:21:55.088
135,88.88888888888889,68138160,17:21:55.089
136,100.0,68152192,17:21:55.090
137,100.0,68183608,17:21:55.091
138,100.0,68187416,17:21:55.092
139,100.0,68104480,17:21:55.093
140,100.0,68106464,17:21:55.094
141,100.0,68131016,17:21:55.095
142,100.0,68131576,17:21:55.096
143,100.0,68112536,17:21:55.097
144,100.0,68142960,17:21:55.098
145,100.0,68152088,17:21:55.098
146,100.0,68046392,17:21:55.099
147,100.0,68170040,17:21:55.100
148,100.0,68053768,17:21:55.100
149,100.0,68071120,17:21:55.101
150,100.0,68136688,17:21:55.102
151,100.0,68261792,17:21:55.104
152,87.5,68105224,17:21:55.106
153,93.75,68116944,17:21:55.107
154,100.0,68119888,17:21:55.108
155,100.0,68149176,17:21:55.108
156,100.0,68152992,17:21:55.109
157,100.0,68131328,17:21:55.110
158,100.0,68171224,17:21:55.111
159,93.75,68175128,17:21:55.112
160,100.0,68134960,17:21:55.113
161,93.75,68138824,17:21:55.114
162,93.75,68117688,17:21:55.115
163,100.0,68074872,17:21:55.116
164,100.0,68221040,17:21:55.117
165,100.0,68108976,17:21:55.117
166,100.0,68167112,17:21:55.118
167,94.11764705882352,68124208,17:21:55.119
168,100.0,68099056,17:21:55.120
169,93.75,68083704,17:21:55.121
170,100.0,68222152,17:21:55.122
171,93.75,68087456,17:21:55.123
172,93.75,68173704,17:21:55.124
173,93.75,68140424,17:21:55.125
174,100.0,68221320,17:21:55.126
175,100.0,68080416,17:21:55.127
176,93.75,68145304,17:21:55.128
177,100.0,68147712,17:21:55.129
178,93.75,68145592,17:21:55.131
179,100.0,68195000,17:21:55.132
180,93.75,68204760,17:21:55.132
181,87.5,68140896,17:21:55.134
182,100.0,68152264,17:21:55.135
183,100.0,68174088,17:21:55.136
184,100.0,68131088,17:21:55.137
185,100.0,68131152,17:21:55.137
186,100.0,68171000,17:21:55.138
187,100.0,68178880,17:21:55.139
188,100.0,68221760,17:21:55.140
189,100.0,68191664,17:21:55.141
190,93.75,68174952,17:21:55.142
191,100.0,68270136,17:21:55.143
192,100.0,68164736,17:21:55.144
193,100.0,68329456,17:21:55.144
194,100.0,68207320,17:21:55.145
195,100.0,68296904,17:21:55.146
196,100.0,68159080,17:21:55.147
197,100.0,68281392,17:21:55.148
198,93.75,68176536,17:21:55.149
199,100.0,68180352,17:21:55.151
200,100.0,68231888,17:21:55.152
201,100.0,68224832,17:21:55.153
202,100.0,68261784,17:21:55.154
203,93.75,68236312,17:21:55.154
204,100.0,68260360,17:21:55.155
205,100.0,68265232,17:21:55.157
206,100.0,68208048,17:21:55.157
207,93.75,68316728,17:21:55.159
208,94.11764705882352,68219688,17:21:55.159
209,93.75,68286416,17:21:55.160
210,100.0,68174552,17:21:55.162
211,93.75,68208968,17:21:55.163
212,93.75,68228688,17:21:55.164
213,100.0,68155184,17:21:55.166
214,100.0,68236232,17:21:55.166
215,100.0,68225104,17:21:55.167
216,93.75,68215160,17:21:55.169
217,100.0,68225240,17:21:55.170
218,100.0,68385984,17:21:55.171
219,100.0,68323128,17:21:55.172
220,100.0,68111072,17:21:55.173
