round,cpu_usage,memory,time
0,0,0,17:21:24.998
1,100.0,66200704,17:21:25.000
2,93.75,66389280,17:21:25.001
3,93.75,66494744,17:21:25.003
4,100.0,66351888,17:21:25.005
5,100.0,66672784,17:21:25.008
6,83.33333333333334,66844808,17:21:25.009
7,100.0,66569944,17:21:25.010
8,100.0,66659208,17:21:25.011
9,100.0,66748544,17:21:25.012
10,87.5,66561024,17:21:25.014
11,81.25,66732104,17:21:25.014
12,100.0,66829064,17:21:25.015
13,100.0,66741600,17:21:25.017
14,93.75,66719624,17:21:25.018
15,100.0,66847408,17:21:25.019
16,93.75,66765816,17:21:25.020
17,100.0,66728112,17:21:25.021
18,100.0,66900992,17:21:25.022
19,100.0,66676784,17:21:25.023
20,100.0,66808544,17:21:25.024
21,100.0,66852584,17:21:25.026
22,100.0,66711088,17:21:25.026
23,100.0,66799960,17:21:25.027
24,100.0,66791256,17:21:25.029
25,100.0,66702064,17:21:25.029
26,100.0,66735472,17:21:25.030
27,100.0,66764152,17:21:25.031
28,100.0,66577024,17:21:25.032
29,93.75,66708064,17:21:25.033
30,100.0,66791560,17:21:25.034
31,93.75,66626840,17:21:25.035
32,100.0,66740848,17:21:25.036
33,100.0,66845800,17:21:25.037
34,87.5,66602456,17:21:25.037
35,100.0,66786616,17:21:25.039
36,100.0,66817144,17:21:25.040
37,100.0,66668472,17:21:25.042
38,100.0,66725688,17:21:25.043
39,93.75,66871016,17:21:25.045
40,93.75,66677208,17:21:25.046
41,100.0,66866888,17:21:25.047
42,100.0,66838944,17:21:25.048
43,100.0,66714416,17:21:25.049
44,100.0,66799752,17:21:25.050
45,87.5,66895208,17:21:25.051
46,93.75,66736256,17:21:25.052
47,100.0,66795488,17:21:25.053
48,93.75,66910992,17:21:25.054
49,93.75,66612480,17:21:25.055
50,100.0,66753080,17:21:25.056
51,100.0,66823400,17:21:25.056
52,100.0,66648464,17:21:25.057
53,100.0,66882000,17:21:25.058
54,100.0,66853488,17:21:25.059
55,100.0,66679032,17:21:25.060
56,93.75,66728864,17:21:25.061
57,100.0,66888688,17:21:25.062
58,100.0,66654224,17:21:25.063
59,93.75,66766168,17:21:25.064
60,100.0,66886232,17:21:25.065
61,100.0,66667952,17:21:25.066
62,100.0,66725392,17:21:25.067
