round,cpu_usage,memory,time
0,0,0,17:22:22.473
1,100.0,66264608,17:22:22.474
2,87.5,66377152,17:22:22.476
3,93.75,66469744,17:22:22.477
4,100.0,66591232,17:22:22.478
5,100.0,67033920,17:22:22.479
6,100.0,67055736,17:22:22.480
7,87.5,67155864,17:22:22.481
8,93.75,67269056,17:22:22.482
9,100.0,67321600,17:22:22.484
10,100.0,67426496,17:22:22.485
11,93.75,67122328,17:22:22.486
12,100.0,67195408,17:22:22.487
13,100.0,67118264,17:22:22.488
14,93.75,67122304,17:22:22.488
15,100.0,67132664,17:22:22.489
16,100.0,67199088,17:22:22.490
17,87.5,67180904,17:22:22.492
18,93.75,67174504,17:22:22.493
19,100.0,67178384,17:22:22.493
20,100.0,67138504,17:22:22.494
21,100.0,67138016,17:22:22.495
22,100.0,67180264,17:22:22.496
23,100.0,67184336,17:22:22.497
24,100.0,67138432,17:22:22.498
25,100.0,67178000,17:22:22.499
26,93.75,67194328,17:22:22.501
27,93.75,67223424,17:22:22.502
28,100.0,67308208,17:22:22.503
29,100.0,67395688,17:22:22.504
30,93.75,67471592,17:22:22.505
31,100.0,67110320,17:22:22.506
32,100.0,67211056,17:22:22.507
33,100.0,67221248,17:22:22.508
34,100.0,67258104,17:22:22.509
35,93.75,67127680,17:22:22.510
36,100.0,67204752,17:22:22.511
37,100.0,67235192,17:22:22.512
38,87.5,67179320,17:22:22.513
39,93.75,67189176,17:22:22.514
40,100.0,67147344,17:22:22.515
41,100.0,67241408,17:22:22.516
42,100.0,67174600,17:22:22.517
43,100.0,67238136,17:22:22.518
44,94.11764705882352,67275392,17:22:22.519
45,93.75,67219480,17:22:22.520
46,100.0,67245144,17:22:22.521
47,93.75,67242080,17:22:22.522
48,100.0,67225136,17:22:22.524
49,100.0,67141600,17:22:22.525
50,93.75,67170768,17:22:22.526
51,93.75,67150760,17:22:22.527
52,93.75,67100600,17:22:22.528
53,100.0,67273424,17:22:22.529
54,100.0,67135360,17:22:22.530
55,100.0,67146808,17:22:22.531
56,100.0,67191432,17:22:22.532
57,100.0,67262272,17:22:22.533
58,93.75,67193256,17:22:22.534
59,100.0,67240000,17:22:22.535
60,100.0,67276048,17:22:22.536
61,100.0,67228456,17:22:22.537
62,100.0,67177424,17:22:22.538
63,87.5,67159904,17:22:22.539
64,100.0,67178768,17:22:22.540
65,87.5,67301832,17:22:22.541
66,100.0,67185240,17:22:22.542
67,100.0,67332640,17:22:22.543
68,100.0,67193152,17:22:22.544
69,100.0,67224896,17:22:22.545
70,100.0,67066336,17:22:22.546
71,100.0,67139216,17:22:22.547
72,100.0,67287400,17:22:22.548
73,100.0,67322320,17:22:22.549
74,93.75,67480304,17:22:22.550
75,100.0,67570456,17:22:22.551
76,100.0,67555168,17:22:22.553
77,100.0,67205584,17:22:22.554
78,93.75,67181424,17:22:22.555
79,87.5,67340624,17:22:22.556
80,100.0,67140608,17:22:22.557
81,87.5,67230400,17:22:22.558
82,94.11764705882352,67315200,17:22:22.559
83,100.0,67344712,17:22:22.560
84,93.75,67410560,17:22:22.561
85,100.0,67528144,17:22:22.562
86,93.75,67136144,17:22:22.563
87,100.0,67180984,17:22:22.564
88,100.0,67219032,17:22:22.564
89,93.75,67229176,17:22:22.565
90,100.0,67184488,17:22:22.566
91,93.75,67188304,17:22:22.568
92,93.75,67215824,17:22:22.569
93,100.0,67172104,17:22:22.570
94,100.0,67174008,17:22:22.571
95,93.75,67218872,17:22:22.572
96,100.0,67218600,17:22:22.573
97,100.0,67167968,17:22:22.574
98,100.0,67160640,17:22:22.575
99,93.75,67196368,17:22:22.576
100,100.0,67274704,17:22:22.577
101,100.0,67367384,17:22:22.578
102,100.0,67454832,17:22:22.579
103,100.0,67537280,17:22:22.579
104,100.0,67576096,17:22:22.581
105,100.0,67406568,17:22:22.582
106,100.0,67501136,17:22:22.583
107,87.5,67144968,17:22:22.584
108,100.0,67203056,17:22:22.585
109,100.0,67239192,17:22:22.586
110,100.0,67239344,17:22:22.586
111,100.0,67134816,17:22:22.588
112,93.75,67281840,17:22:22.589
113,100.0,67159152,17:22:22.590
114,100.0,67221424,17:22:22.591
115,100.0,67313104,17:22:22.592
116,100.0,67437256,17:22:22.593
117,93.75,67461776,17:22:22.594
118,100.0,67498816,17:22:22.595
119,93.75,67130976,17:22:22.596
120,100.0,67196968,17:22:22.597
121,87.5,67169560,17:22:22.599
122,100.0,67309584,17:22:22.600
